-----------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations
solve<Multiset>/300/300/real_time                  730861 ns       730918 ns          958
solve<Multiset>/300/300/real_time                  730325 ns       730377 ns          958
solve<Multiset>/300/300/real_time_mean             730452 ns       730508 ns            3
solve<Multiset>/300/300/real_time_median           730325 ns       730377 ns            3
solve<Multiset>/300/300/real_time_stddev              362 ns          362 ns            3
solve<Multiset>/300/300/real_time_cv                 0.05 %          0.05 %             3
solve<Multiset>/2/17576/real_time                54743178 ns     54743380 ns           13
solve<Multiset>/2/17576/real_time                54833171 ns     54833168 ns           13
solve<Multiset>/2/17576/real_time                54791770 ns     54791716 ns           13
solve<Multiset>/2/17576/real_time_mean           54789373 ns     54789422 ns            3
solve<Multiset>/2/17576/real_time_median         54791770 ns     54791716 ns            3
solve<Multiset>/2/17576/real_time_stddev            45044 ns        44938 ns            3
solve<Multiset>/2/17576/real_time_cv                 0.08 %          0.08 %             3
solve<Multiset>/132/17576/real_time              45460572 ns     45460979 ns           15
solve<Multiset>/132/17576/real_time              45411026 ns     45411446 ns           15
solve<Multiset>/132/17576/real_time              45428135 ns     45428161 ns           15
solve<Multiset>/132/17576/real_time_mean         45433244 ns     45433529 ns            3
solve<Multiset>/132/17576/real_time_median       45428135 ns     45428161 ns            3
solve<Multiset>/132/17576/real_time_stddev          25165 ns        25199 ns            3
solve<Multiset>/132/17576/real_time_cv               0.06 %          0.06 %             3
solve<Multiset>/8788/17576/real_time             45494282 ns     45494800 ns           15
solve<Multiset>/8788/17576/real_time             45744971 ns     45745483 ns           15
solve<Multiset>/8788/17576/real_time             45383210 ns     45383416 ns           15
solve<Multiset>/8788/17576/real_time_mean        45540821 ns     45541233 ns            3
solve<Multiset>/8788/17576/real_time_median      45494282 ns     45494800 ns            3
solve<Multiset>/8788/17576/real_time_stddev        185316 ns       185446 ns            3
solve<Multiset>/8788/17576/real_time_cv              0.41 %          0.41 %             3
solve<Multiset>/17576/17576/real_time            49007692 ns     49008183 ns           14
solve<Multiset>/17576/17576/real_time            48609216 ns     48609446 ns           14
solve<Multiset>/17576/17576/real_time            49016766 ns     49016883 ns           14
solve<Multiset>/17576/17576/real_time_mean       48877892 ns     48878171 ns            3
solve<Multiset>/17576/17576/real_time_median     49007692 ns     49008183 ns            3
solve<Multiset>/17576/17576/real_time_stddev       232724 ns       232763 ns            3
solve<Multiset>/17576/17576/real_time_cv             0.48 %          0.48 %             3
